Family,X,Y
2000,661,473
1999,676,586
1998,695,500
1997,545,782
1996,543,764
1995,530,736
1994,549,658
1993,547,626
1992,543,642
1991,579,705
1990,592,682
1989,597,653
1988,650,517
1987,648,535
1986,631,537
1985,141,762
1984,152,763
1983,159,752
1982,18,765
1981,27,779
1980,21,766
1979,9,646
1978,1,636
1977,10,624
1976,195,539
1975,193,552
1974,204,560
1973,279,695
1972,276,683
1971,269,677
1970,773,206
1969,772,192
1968,783,214
1967,,
1966,,
1965,,
1964,836,87
1963,857,102
1962,825,83
1961,764,42
1960,747,38
1959,728,51
1958,642,185
1957,640,193
1956,666,177
1955,671,28
1954,709,27
1953,683,31
1952,869,85
1951,850,90
1950,689,185
1949,,
1948,,